"pid","object_id","label","provenance_date","provenance_location","provenance_text","order","collection"
"5140","3145","Flowers in a Chinese Vase (Madrid)","1849","Spain, Madrid","Museo del Prado, inv. #1483 (as ""Jan Brueghels the Elder"")",,"provenance"
"5141","3146","Flowers in a Decorated Ceramic Vase (Antwerp)","1880","Belgium, Antwerp","Purchased from Me Ve Pelgrims-Haenegraeff",,"provenance"
"5142","3146","Flowers in a Decorated Ceramic Vase (Antwerp)","1935","Germany, Berlin","G. van Schmidt",,"provenance"
"5143","3147","Flowers in a Decorated Ceramic Vase (Berlin)","1935","Germany, Berlin","G. van Schmidt",,"provenance"
"5144","3149","Flowers in a Decorated Ceramic Vase (Madrid)","1849","Spain, Madrid","Museo del Prado, inv. #1831 (as ""Jan Brueghels the Elder"")",,"provenance"
"5145","3150","Flowers in a Decorated Ceramic Vase with Orange Blossom (Madrid)","1849","Spain, Madrid","Museo del Prado, inv. #1764 (as ""Jan Brueghels the Elder"")",,"provenance"
"5146","3152","Flowers in a Glass Vase (Milan)","1608","Italy, Milan","Cardinal Federico Borromeo from Jan Brueghel",,"provenance"
"5147","3152","Flowers in a Glass Vase (Milan)","1618","Italy, Milan","Donated by Cardinal Borromeo to Ambrosiana",,"provenance"
"5158","3154","Flowers in a Glass Vase (Switzerland)","Until 1965","England, Arden","Desmond O'Brian, Esquire of Arden",,"provenance"
"5159","3154","Flowers in a Glass Vase (Switzerland)","Mar 24 1965","England, London","Sale, Sotheby's, Lot #16",,"provenance"
"5160","3154","Flowers in a Glass Vase (Switzerland)","1999","United States, Washington, DC","Private Collection",,"provenance"
"5173","3157","Flowers in a Painted Ceramic Vase (Vienna)","Dec 16 1748","Austria, Vienna","From the Schatzkammer E. 12227, GNr. 925",,"provenance"
"5174","3158","Flowers in a Painted Ceramic Vase with Moths (Madrid)","1772","Spain, Madrid","Palacio Nuevo",,"provenance"
"5175","3160","Flowers in a Painted Vase with Tazza and Wreath (Munich)","1935","Netherlands, Amsterdam","de Boer Gallery",,"provenance"
"5176","3160","Flowers in a Painted Vase with Tazza and Wreath (Munich)","1964","Germany, Munich","Gunter Henle",,"provenance"
"5177","3160","Flowers in a Painted Vase with Tazza and Wreath (Munich)","Dec 3 1997","England, London","Sale, Sotheby's,, Lot #38 (as ""Jan Brueghel the Younger"")",,"provenance"
"5178","3160","Flowers in a Painted Vase with Tazza and Wreath (Munich)","Jul 12 2001","England, London","Sale, Sotheby's, Lot #31 (as ""Jan Brueghel the Younger"")",,"provenance"
"5179","3160","Flowers in a Painted Vase with Tazza and Wreath (Munich)",,"England, London","Rafael Valls Gallery, Catalogue #7",,"provenance"
"5180","3161","Flowers in a Porcelain Bowl (Madrid)","1772","Spain, Madrid","Palacio Nuevo",,"provenance"
"5181","3162","Flowers in a Sculpted Vase (New York)","Jan 27 2000","United States, New York, NY","Sale, Christie's, Lot #79",,"provenance"
"5182","3164","Flowers in a Sculpted Vase (Private Collection)","1959","England, London","Sale, Koetser Gallery",,"provenance"
"5183","3165","Flowers in a Sculpted Vase (Stockholm)","18th century-19th century","Sweden","Collection of Queen Désirée Bernadotte",,"provenance"
"5184","3165","Flowers in a Sculpted Vase (Stockholm)","Before 1870","Sweden, Stockholm","Collection of G.F. Almqiust",,"provenance"
"5195","3167","Flowers in a Sculpted Vase with Orange Blossom (Private Collection)","Dec 17 1923","Belgium, Brussels","Sale, Sarens, Lot #1",,"provenance"
"5196","3167","Flowers in a Sculpted Vase with Orange Blossom (Private Collection)","Jul 8 1981","England, London","(Possible copy) Sale, Sotheby's, Lot #42",,"provenance"
"5197","3168","Flowers in a Tazza (Netherlands)","1927","France, Paris","Gallery of Jacques Herbrand",,"provenance"
"5198","3168","Flowers in a Tazza (Netherlands)","Until 1933","Switzerland, Zürich","Gallery David M. Koetser",,"provenance"
"5199","3168","Flowers in a Tazza (Netherlands)","1993","United States, New York, NY","Sale, Sotheby's, Lot #87 (as ""Jan Brueghel the Younger"")",,"provenance"
"5200","3168","Flowers in a Tazza (Netherlands)","Jan 15 1995","Netherlands, Maastricht","Noortman Gallery",,"provenance"
"5201","3169","Flowers in a Tazza (New York)",,"France, Saint-Étienne","Martouret Collection",,"provenance"
"5202","3169","Flowers in a Tazza (New York)","Until 1938","Germany, Berlin","E. Plietzsch",,"provenance"
"5203","3169","Flowers in a Tazza (New York)","Jul-Sep 4 1938","Germany, Berlin","Sale, L. Lange, Lot #3",,"provenance"
"5204","3169","Flowers in a Tazza (New York)","1991","France, Paris","Private Collection",,"provenance"
"5205","3169","Flowers in a Tazza (New York)","Jan 26 1996","United States, New York, NY","Sale, Sotheby's, Lot #17",,"provenance"
"5206","3169","Flowers in a Tazza (New York)","Dec 2 1998","Monaco","Sale, Sotheby's, Lot #322",,"provenance"
"5207","3170","Flowers in a Vase with Jewels, Coins, and Shells (Milan)","1618","Italy, Milan","Donated by Cardinal Borromeo to Ambrosiana",,"provenance"
"5208","3171","Flowers in a Wooden Tub (Amsterdam)","May 23 1922","Belgium, Brussels","Sale, Cavens, Lot #33 (as ""Resembling Jan Brueghel the Elder"")",,"provenance"
"5209","3171","Flowers in a Wooden Tub (Amsterdam)","1940",,"Gift of Kessler-Hülsmann to Rijksmuseum",,"provenance"
"5210","3173","Flowers in a Wooden Tub (London)","Nov 12 2003","England, London","Sale, Sotheby's, Lot #56",,"provenance"
"5211","3175","Flowers in a Wooden Tub (Paris)","Jun 10 1997","France, Paris","Drouot Montaigne",,"provenance"
"5212","3176","Flowers in a Wooden Tub (Private Collection)","1933","Netherlands, Amsterdam","Exhibited with J. Goudstikker, inv. #42",,"provenance"
"5213","3176","Flowers in a Wooden Tub (Private Collection)","1955","Netherlands, Rotterdam","Catalogue #150, Image #41",,"provenance"
"5214","3177","Flowers in a Wooden Tub (The Hague)","1952","United States, New York, NY","Victor Spark Gallery",,"provenance"
"5215","3177","Flowers in a Wooden Tub (The Hague)","20th century","Netherlands, Amsterdam","Collection of Dr. H.A. Wetzlar",,"provenance"
"5216","3178","Flowers in a Wooden Tub (Vienna)","Jan 1659","Belgium, Brussels","Royal Palace, inv. #225",,"provenance"
"5217","3178","Flowers in a Wooden Tub (Vienna)","Jul 1659","Austria, Vienna","Probably Collection of Archduke Leopold Wilhelm, inv. #870",,"provenance"
"5218","3179","Flowers in a Wooden Tub with Squirrel (Amsterdam)",,"Netherlands, Amsterdam","Van Diemen Gallery",,"provenance"
"5219","3181","Forest Interior with John the Baptist","1980","Germany","Private Collection",,"provenance"
"5220","3181","Forest Interior with John the Baptist","Nov 19 1987","Switzerland, Zürich","Sale, Koller, Lot #5017",,"provenance"
"5221","3182","Forest Landscape","Before 1963","Sweden, Stockholm","Einar Perman Collection",,"provenance"
"5222","3182","Forest Landscape","1963","Netherlands, Amsterdam","Gallery Pieter de Boer",,"provenance"
"5224","3184","Forest Landscape (Cologne)","Before 1976","Germany, Solingen","Gallery Müllenmeister",,"provenance"
"5225","3184","Forest Landscape (Cologne)","1976","Germany","Private Collection",,"provenance"
"5226","3184","Forest Landscape (Cologne)","Before 1988","Italy, Campione","Silvano Lodi",,"provenance"
"5227","3184","Forest Landscape (Cologne)","2010","Belgium","Private Collection",,"provenance"
"5228","3185","Forest Landscape (Vienna)","1781-1809","Austria, Vienna","Kunsthistorisches Museum",,"provenance"
"5229","3185","Forest Landscape (Vienna)","1809-1815","France, Paris",,,"provenance"
"5230","3185","Forest Landscape (Vienna)","1815","Austria, Vienna","Returned to Kunsthistorisches Museum",,"provenance"
"5231","3186","Forest Landscape with Angler","2004","France, Paris","Hôtel Drouot",,"provenance"
"5232","3186","Forest Landscape with Angler","2005","France, Paris","Gallery de Jonckheere",,"provenance"
"5233","3187","Forest Landscape with Bridge","ca. 1780",,"Acquired through exchange from the Imperial Art Collection",,"provenance"
"5234","3190","Forest Landscape with Deer Hunting","Mar 1 1994",,"Sale, Dorotheum, Lot #136",,"provenance"
"5235","3192","Forest Landscape with Duck Hunter","Before 1983","England, Solihull","Gallery Müllenmeister",,"provenance"
"5236","3192","Forest Landscape with Duck Hunter","1983","Germany","Private Collection",,"provenance"
"5237","3193","Forest Landscape with Duck Hunter (Florence)","1713","Italy, Poggio á Caiano","Collection of Prince Ferdinando Poggio á Caiano (as ""Pieter Brueghel"")",,"provenance"
"5238","3193","Forest Landscape with Duck Hunter (Florence)","1773","Italy, Florence","Galleria degli Uffizi",,"provenance"
"5239","3194","Forest Landscape with Flight into Egypt (Frankfurt)","1892",,"Legat Gontard",,"provenance"
"5240","3196","Forest Landscape with Fox Hunting (Vienna)","May 19 1994",,"Sale, Sotheby's, Lot #11 (as ""attributed to Jan I"")",,"provenance"
"5241","3197","Forest Landscape with Hermit","May 15 1981","Switzerland, Zürich","Sale, Koller Auction, Lot #5090",,"provenance"
"5242","3198","Forest Landscape with Hermit (Private Collection)",,,"Trustees of the Bishop Court",,"provenance"
"5243","3198","Forest Landscape with Hermit (Private Collection)","Mar 6 1967","England, London","Sale, Sotheby's, Lot #133 (as ""J. Brueghel"")",,"provenance"
"5244","3198","Forest Landscape with Hermit (Private Collection)",,"Switzerland","Private Collection",,"provenance"
"5245","3198","Forest Landscape with Hermit (Private Collection)","Jul 5 2011","England, London","Sale, Christie's, Lot #32 ($424,400)",,"provenance"
"5246","3201","Forest Landscape with Hunters (Frankfurt)","1895","Germany, Frankfurt","Gift from the estate of Anton Theodor Brentano (as ""Attributed to Vinckboons"")",,"provenance"
"5247","3202","Forest Landscape with Hunters (Germany)","Apr 14 1989","France, Paris","Sale, Ader Picard Tajan, Lot #109 (as ""attributed to Jan I"")",,"provenance"
"5248","3202","Forest Landscape with Hunters (Germany)","1999","Germany, Munich","Gallery Bernheimer",,"provenance"
"5249","3203","Forest Landscape with Hunters (London)",,"Germany, Bassenheim","Waldbott von Bassenheim (according to seal on reverse)",,"provenance"
"5250","3203","Forest Landscape with Hunters (London)",,"Germany, Cologne","Gallery Abels",,"provenance"
"5251","3203","Forest Landscape with Hunters (London)",,"Germany","Private Collection",,"provenance"
"5252","3204","Forest Landscape with Hunters (New York)","Before 1957","England, London","Thomas Agnew and Sons Ltd.",,"provenance"
"5253","3204","Forest Landscape with Hunters (New York)","1957-1997","England","Private Collection",,"provenance"
"5254","3204","Forest Landscape with Hunters (New York)",,"Switzerland, Zürich","Gallery David M. Koetser",,"provenance"
"5255","3204","Forest Landscape with Hunters (New York)","Mar 15 1997","United States","Private Collection",,"provenance"
"5256","3206","Forest Landscape with Hunters and Dogs","Dec 8 2005","England, London","Sale, Sotheby's, Lot #218 (as ""Follower of Jan Brueghel"")",,"provenance"
"5257","3206","Forest Landscape with Hunters and Dogs","Apr 1 2007","England, London","Sale, Sotheby's, Lot #1 (as ""Follower of Jan Brueghel"")",,"provenance"
"5258","3207","Forest Landscape with Hunting Scene","Dec 13 2001","England, London","Sale, Sotheby's, Lot #26 (as ""Attributed to Jan I"")",,"provenance"
"5265","3210","Forest Landscape with Sacrifice of Isaac (Tokyo)","Mar 14 1972","Netherlands, Amsterdam","Sale, Mark van Waay, Lot #12",,"provenance"
"5266","3210","Forest Landscape with Sacrifice of Isaac (Tokyo)",,"United States, New York, NY","Collection of Maxwell Brandwen",,"provenance"
"5267","3210","Forest Landscape with Sacrifice of Isaac (Tokyo)","1979","England, London","Gallery of Thomas and Brenda Brod",,"provenance"
"5268","3210","Forest Landscape with Sacrifice of Isaac (Tokyo)","2002","Japan, Tokyo","Purchased by National Museum of Western Art",,"provenance"
"5269","3211","Forest Landscape with St. Hubert",,,"Collection of Vischer-Sarasin",,"provenance"
"5270","3211","Forest Landscape with St. Hubert","Mar 18 2008","Switzerland, Zürich","Sale, Koller",,"provenance"
"5271","3212","Forest Landscape with Stag Hunt","Until 1748","Czech Republic, Prague","Treasury of Prague",,"provenance"
"5272","3212","Forest Landscape with Stag Hunt","1748","Austria, Vienna","Kunsthistorisches Museum",,"provenance"
"5273","3213","Forest Landscape with Stream","1618","Italy, Milan","Donated by Cardinal Borromeo to Ambrosiana",,"provenance"
"5274","3214","Forest Landscape with Travelers",,"France, Paris","Palais Royal Collection",,"provenance"
"5275","3214","Forest Landscape with Travelers",,"England","Private Collection",,"provenance"
"5276","3215","Forest Landscape with Wanderers","Before 1988","Italy, Rome","Stroganoff Collection",,"provenance"
"5277","3215","Forest Landscape with Wanderers","1988","Sweden, Stockholm","Collection of Lars Bomann",,"provenance"
"5278","3216","Forest Landscape with Woodcutters","Jun 25 1985","France, Paris","Sale, Ader Picard Tajan",,"provenance"
"5279","3216","Forest Landscape with Woodcutters","1985","France, Paris","Galerie d'Art St. Honoré, Cat. #11",,"provenance"
"5280","3217","Forest Landscape with Woodcutters (Flight into Egypt) (St. Petersburg)","18th century","Germany, Cologne","Collection of Clemens August, Duke of Bavaria, Prince-Elector and Archbishop of Cologne",,"provenance"
"5281","3217","Forest Landscape with Woodcutters (Flight into Egypt) (St. Petersburg)","1769","Germany, Dresden","Acquired with the Count Brühl Collection",,"provenance"
"5282","3218","Forest Landscape with a Pond","1618","Italy, Milan","Donated by Cardinal Borromeo to Ambrosiana",,"provenance"
"5283","3219","Forest Landscape with a Pond (Germany)","Before 1989","England, Solihull","Gallery Müllenmeister",,"provenance"
"5284","3220","Forest Landscape with a Pond and Hunter","Jul 4 1997","England, London","Sale, Christie's (as ""Coninxloo"")",,"provenance"
"5285","3220","Forest Landscape with a Pond and Hunter",,"Germany, Munich","Gallery Bernheimer",,"provenance"
"5286","3220","Forest Landscape with a Pond and Hunter","Dec 8 2007","Germany, Munich","Sale, Hampel, Lot #1804 (as Gillis van Coninxloo III (1544-1607))",,"provenance"
"6613","3222","Forest Road","19th century","Netherlands, Amsterdam","Jacob de Vos Jacobsz",,"provenance"
"6614","3222","Forest Road","May 22 1883-May 24 1883","Netherlands, Amsterdam","Sale, Lot #87",,"provenance"
"6615","3222","Forest Road",,"Belgium, Brussels","Jean de Grez (Lugt 1834)",,"provenance"
"6616","3222","Forest Road","1913","Belgium, Brussels","Donated to Musées Royaux des Beaux-Arts de Belgique by de Grez",,"provenance"
"5289","3223","Forest Road with Travelers","Apr 4 1837-Apr 6 1837","France, Paris","Duc de Berry, Palais de l'Elysée, inv. #95",,"provenance"
"5290","3223","Forest Road with Travelers","1903-1928","England, Warwick","The Earls of Warwick, Warwick Castle",,"provenance"
"5291","3223","Forest Road with Travelers","1928-1974","England, Warwick","Charles Guy Fulke Greville, 7th Earl of Warwick, Warwick Castle",,"provenance"
"5292","3223","Forest Road with Travelers","1974","England, London","Sale from Gallery Speelman Ltd. to Met",,"provenance"
"5293","3224","Forest Road with Travelers (Florence)","1929","Italy, Florence","Collection of E. Saulmann",,"provenance"
"5294","3224","Forest Road with Travelers (Florence)",,"Netherlands, Amsterdam","J. Goudstikker Gallery, inv. #8",,"provenance"
"5295","3224","Forest Road with Travelers (Florence)",,"Germany, Berlin","Frank A. Gutmann",,"provenance"
"5296","3225","Forest Road with Travelers (France)","1979","Belgium","Private Collection",,"provenance"
"5297","3225","Forest Road with Travelers (France)","Jul 5 1985","England, London","Sale, Christie's, Lot #30",,"provenance"
"5298","3225","Forest Road with Travelers (France)","1985","France, Paris","Galerie d'Art St. Honoré, inv. #9",,"provenance"
"5299","3226","Forest Road with Travelers (Madrid)","1746","Spain, Madrid","La Granja, Inventory of 1746",,"provenance"
"5300","3226","Forest Road with Travelers (Madrid)",,"Spain, Madrid","Later in Palacio de Aranjuez",,"provenance"
"5301","3227","Forest Road with Woodcutter","1722","Germany, Dresden","Inventory of 1722, inv. #A607",,"provenance"
"5302","3228","Forest Road with Woodcutter (London)","Dec 12 1984","France, Paris","Sale, Couturier Nicolay",,"provenance"
"5303","3229","Forest with Hunting Scene",,,"Private Collection, Europe",,"provenance"
"5304","3229","Forest with Hunting Scene","Dec 13 1978","England, London","Sale, Sotheby's, Lot #102 (as Anton Mirou)",,"provenance"
"5305","3229","Forest with Hunting Scene","1979","England, London","Gallery Thomas Brod",,"provenance"
"6547","3230","Forge in the Forest","Until 1934","Wales, Abergavenny","Lord Treowen, Llanover House",,"provenance"
"6548","3230","Forge in the Forest","Jun 20 1934",,"Sale, Bruton, Knowles,  & Co. Lot #997",,"provenance"
"6549","3230","Forge in the Forest","20th century","England, Killinghall","Alfred Jowett",,"provenance"
"6551","3230","Forge in the Forest","1938","Netherlands, Amsterdam","Purchased by the Rijksmuseum from F.W.H. Hollstein",,"provenance"
"5310","3234","Foundry in the Mountains (Rome)","1819",,"First appears in the inventory of the Fidecommissario (as ""Vanvitelli"")",,"provenance"
"6557","3235","Four Windmills along a Road","18th century","Netherlands, Amsterdam","Johann Goll van Franckenstein I",,"provenance"
"6558","3235","Four Windmills along a Road","Mar 1 1819","Netherlands, Amsterdam","(Possibly) Sale, C.S. Roos",,"provenance"
"6559","3235","Four Windmills along a Road","Jun 25 1995-Jun 26 1995","Netherlands, Amsterdam","Sale, F. Muller, Lot #127",,"provenance"
"6560","3235","Four Windmills along a Road",,,"Bought by H. J. Valk for Vereniging Rembrandt",,"provenance"
"6561","3235","Four Windmills along a Road","Mar 1897","Netherlands, Amsterdam","Sold to Rijksmuseum",,"provenance"
"5316","3237","Fruit Garland with Holy Family","Before 1966","France, Paris","Private Collection",,"provenance"
"5317","3237","Fruit Garland with Holy Family","1966","France, Paris","Francoise Heim",,"provenance"
"5318","3238","Fruit Garland with Holy Family (Amsterdam)","Before 1636","Belgium, Turnhout","Collection of B. Leflot Helsen",,"provenance"
"5319","3238","Fruit Garland with Holy Family (Amsterdam)","Mar 5 1936","Belgium, Brussels","Sale of Charles Kreglinger Collection, Galerie Le Roy, Lot #4",,"provenance"
"5320","3238","Fruit Garland with Holy Family (Amsterdam)","Oct 8 1958","Belgium, Brussels","Sale of Jules van Hulst Collection, Palais des Beaux-Arts, Lot #82",,"provenance"
"5321","3239","Fruit Garland with Holy Family in a Landscape","1991","France, Paris","Sale, Christie's",,"provenance"
"5322","3240","Fruit Garland with Madonna, Child and John the Baptist","1966","England, London","Hallsborough Gallery",,"provenance"
"5323","3240","Fruit Garland with Madonna, Child and John the Baptist",,"Switzerland, Basel","Private Collection",,"provenance"
"5324","3241","Fruit Garland with Madonna and Child","Dec 12 1979","England, London","Sale, Sotheby's, Lot #77",,"provenance"
"5325","3241","Fruit Garland with Madonna and Child","Dec 10 2003","England, London","Sale, Christie's, Lot #20",,"provenance"
"5332","3243","Fruit Garland with Offering to Ceres (Brussels)",,"England, Weymouth","Collection of Captain Montague Thomas",,"provenance"
"5333","3243","Fruit Garland with Offering to Ceres (Brussels)","Jul 13 1895","England, London","Sale, Lot #82",,"provenance"
"5334","3243","Fruit Garland with Offering to Ceres (Brussels)","19th century","United States, New York, NY","Collection of Salomon van Berg",,"provenance"
"5335","3243","Fruit Garland with Offering to Ceres (Brussels)",,"United States, New York, NY","Collection of Bart van Berg",,"provenance"
"5336","3243","Fruit Garland with Offering to Ceres (Brussels)","Jun 25 1969","England, London","Sale, Sotheby's, Lot #86",,"provenance"
"5337","3243","Fruit Garland with Offering to Ceres (Brussels)",,"England, London","Duits, Ltd.",,"provenance"
"5338","3243","Fruit Garland with Offering to Ceres (Brussels)","1969","Belgium, Brussels","Acquired by Dexia Bank",,"provenance"
"5339","3244","Fruit Garland with Offering to Ceres (Madrid)",,"Spain, Madrid","Spanish Royal Collection",,"provenance"
"5340","3246","Fruit and Flower Garland with the Holy Family in a Landscape (Munich)",,"Germany, Munich","Kurfürstlichen Galerie",,"provenance"
"5341","3246","Fruit and Flower Garland with the Holy Family in a Landscape (Munich)","1922","Germany, Munich","Alte Pinakothek, Catalogue of 1922, inv. #149",,"provenance"
"5342","3246","Fruit and Flower Garland with the Holy Family in a Landscape (Munich)","After 1930","Germany, Munich","Schleißheim Painting Gallery",,"provenance"
"5343","3246","Fruit and Flower Garland with the Holy Family in a Landscape (Munich)",,"Germany, Munich","Bavarian State Painting Gallery Collection, inv. #149",,"provenance"
"5351","3248","Gallery Interior with Archdukes Albert and Isabella",,"United States, New York, NY","Pierpont Morgan",,"provenance"
"5352","3248","Gallery Interior with Archdukes Albert and Isabella","Apr 22 1948","United States, New York, NY","Sale of Satterlee Collection, Parke-Bernet, Lot #25",,"provenance"
"5353","3248","Gallery Interior with Archdukes Albert and Isabella","1948","United States, Baltimore, MD","The Walter Art Gallery",,"provenance"
"5354","3249","Gallery Interior with Dog and Parrot","Before 1913","England, London","Mrs. Lawrence, Emperor's Gate",,"provenance"
"5355","3249","Gallery Interior with Dog and Parrot","Dec 19 1913","England, London","Sale, Christie's, Lot #82",,"provenance"
"5356","3249","Gallery Interior with Dog and Parrot","1914",,"Inherited by W.J. Lawrence",,"provenance"
"5357","3249","Gallery Interior with Dog and Parrot",,,"Captain M. Graham",,"provenance"
"5358","3249","Gallery Interior with Dog and Parrot","Before 1967",,"Joseph Bliss",,"provenance"
"5359","3249","Gallery Interior with Dog and Parrot","Apr 19 1967",,"Sale, Sotheby's, Lot #112",,"provenance"
"5360","3252","Garden of the Janshoven Castle",,"Germany","Private Collection",,"provenance"
"5375","3254","Grain Harvest","Before 1979","Sweden, Stockholm","Collection of Osborn Kling",,"provenance"
"5376","3254","Grain Harvest","19th century-20th century","Sweden, Stockholm","Collection of Einar Perman",,"provenance"
"5377","3254","Grain Harvest",,"Germany, Dortmund","Collection of H. Becker",,"provenance"
"5378","3255","Grain Harvest (Madrid)","Before 1736","Spain, Madrid","Possibly in the Alcázar",,"provenance"
"5379","3255","Grain Harvest (Madrid)","1794","Spain, Madrid","Madrid Palace (among pieces in storage, valued at 8000 reales)",,"provenance"
"5380","3256","Harbor Landscape with Scipio's Grave","1956","England, London","Hallsborough Gallery",,"provenance"
"5381","3256","Harbor Landscape with Scipio's Grave","After 1956","England, Sussex","Collection of Bernard Falk, Esquire of Hove",,"provenance"
"6795","3257","Harbor Scene","1910","England, London","Bequeathed by George Salting to British Museum",,"provenance"
"7084","3259","Harbor Scene (Paris)","Late 19th century",,"Seized during the French Revolution",,"provenance"
"5385","3260","Harbor with Preaching of Christ (London)","1923","France, Paris","Galerie Brunner",,"provenance"
"5386","3260","Harbor with Preaching of Christ (London)",,"Sweden, Stockholm","Count de Fuer",,"provenance"
"5387","3260","Harbor with Preaching of Christ (London)","Before 1979","United States, New York, NY","Saul Steinberg",,"provenance"
"5388","3260","Harbor with Preaching of Christ (London)","Nov 30 1979","England, London","Sale, Christie's, Lot #54",,"provenance"
"5389","3260","Harbor with Preaching of Christ (London)","2002","England, London","Johnn van Haeften Ltd.",,"provenance"
"5397","3263","Hell Scene","1618","Italy, Milan","Donated by Cardinal Borromeo to Ambrosiana",,"provenance"
"5398","3264","Hell Scene (Amsterdam)","Mar 24 1953","France, Paris","Charpentier",,"provenance"
"10336","3265","Hell Scene (Paris)","2001","France, Paris","Galerie Gombert",,"provenance"
"5399","3266","Hermit with Vegetable Garden and Distant Landscape","1618","Italy, Milan","Donated by Cardinal Borromeo to Ambrosiana",,"provenance"
"5400","3267","Herse Being Prepared for her Wedding","1737","Netherlands, The Hague","Private Collection",,"provenance"
"5401","3267","Herse Being Prepared for her Wedding","1750","Netherlands, Delft","Acquired by Wilhelm VIII from the REuver Collection",,"provenance"
"5402","3267","Herse Being Prepared for her Wedding","1807-1815","France, Paris",,,"provenance"
"6793","3268","A Highway Robbery","Until 1859","England, London","A. E. Evans & Sons",,"provenance"
"6794","3268","A Highway Robbery","1859",,"Bought by British Museum from A.E. Evans & Sons",,"provenance"
"6694","3271","Hilly Landscape with Figures Near a Ravine","1987","United States, New York, NY","Sale, Bob P. Haboldt Gallery",,"provenance"
"6695","3271","Hilly Landscape with Figures Near a Ravine","1987","United States, Chicago, IL","Bought by Art institute of Chicago with Helen Regenstein Fund",,"provenance"
"5407","3277","Holy Family in a Landscape (Munich)","Until 1748","Germany, Schleißheim","Galerie Schleißheim",,"provenance"
"5408","3278","Holy Family in a Landscape with John the Baptist (London)","Dec 20 1994","France, Paris","Sale, Ader Picard Tajan, Lot #25",,"provenance"
"5409","3278","Holy Family in a Landscape with John the Baptist (London)","After 1994","France","Private Collection",,"provenance"
"5410","3280","Holy Family with John the Baptist in a Landscape",,"Scotland, Firth of Clyde","Dukes of Hamilton Brandon, Brodick Castle",,"provenance"
"5411","3280","Holy Family with John the Baptist in a Landscape","1996","France, Paris","Gallery of Jonckheere",,"provenance"
"6543","3282","Horse with Cart and Horse Head","20th century","France, Paris","Purchased from P.Bayser",,"provenance"
"6544","3282","Horse with Cart and Horse Head","1953","Netherlands, Amsterdam","Rijksmuseum",,"provenance"
"5413","3284","Icon of the Madonna and Child Suspended Within a Fruit and Flower Garland","Before 1630","Belgium, Flanders","Purchased by Don Diego Mexia, Marquis of Leganés",,"provenance"
"5414","3284","Icon of the Madonna and Child Suspended Within a Fruit and Flower Garland","1630","Spain, Madrid","Collection of Don Diego Mexia",,"provenance"
"5415","3284","Icon of the Madonna and Child Suspended Within a Fruit and Flower Garland","1666","Spain, Madrid","Collection of the Alcazar",,"provenance"
"5416","3284","Icon of the Madonna and Child Suspended Within a Fruit and Flower Garland","1686","Spain, Madrid","Salon de los Espejos",,"provenance"
"5417","3285","Infanta Isabella and her Entourage in the Park at Mariemont","1633","Spain, San Juan","One of 25 paintings sent from Flanders for the Queen at the Torre Nueva, Alcazar",,"provenance"
"5418","3285","Infanta Isabella and her Entourage in the Park at Mariemont","1633","Spain, San Juan","In Great Chamber near to Lower Court",,"provenance"
"5419","3285","Infanta Isabella and her Entourage in the Park at Mariemont","1701","Spain, Madrid","Casa de Campo",,"provenance"
"5420","3286","Infanta Isabella and her Ladies Making Hay near Mariemont","1636","Spain, Madrid","Collection of the Alcazar via Queen Isabel de Bourbon",,"provenance"
"5421","3287","Infanta Isabella before Mariemont Castle","1636","Spain, Madrid","Collection of the Alcazar",,"provenance"
"5422","3287","Infanta Isabella before Mariemont Castle","1734","Spain, Madrid","Rescued from fire",,"provenance"
"5423","3287","Infanta Isabella before Mariemont Castle","1819","Spain, Madrid","Transferred to the Prado",,"provenance"
"5424","3289","Interior of a Cathedral","1812-1871","Austria, Laxenburg","Esterházy Collection, Schloss Laxenburg",,"provenance"
"5425","3289","Interior of a Cathedral","1871","Austria, Vienna","Acquired by the Szépmveszéti Múseum from the Esterházy family",,"provenance"
"5431","3291","Interior of a Gothic Church (Milan)","1609",,"Cardinal Federico Borromeo from Jan Brueghel (with the added staffage)",,"provenance"
"5432","3291","Interior of a Gothic Church (Milan)","1611",,"Listed codicil (as ""Steenwijck with figures by Brueghel"")",,"provenance"
"5433","3291","Interior of a Gothic Church (Milan)","1618","Italy, Milan","Donated by Cardinal Borromeo to Ambrosiana (as ""by an excellent Flemish painter with figures by Brueghel"")",,"provenance"
"5451","3294","Italian Landscape with Travelers","Before 1929","Russia, St. Petersburg","Collection of Youssoupoff",,"provenance"
"5452","3294","Italian Landscape with Travelers","1929","Russia, St. Petersburg","Leningrad Museums Fund",,"provenance"
"5453","3295","John the Baptist in the Wilderness (London)","19th century","England, Bedfordshire","Thomas Charles Higgins, Turney House,",,"provenance"
"6936","3296","Jonah Delivered from the Whale",,"United States, New Haven, CT","Egmont Collection, Yale Library Transfer",,"provenance"
"5454","3297","Jonah Leaving the Whale (Munich)","1627","Germany, Munich","Maximilian I of Bavaria, Inventory of 1627/30 (as by ""Prügel"")",,"provenance"
"5455","3298","Judgment of Paris","1888","Germany, Berlin","Kupferstichkabinett",,"provenance"
"5456","3298","Judgment of Paris","1891-1945","Germany, Emden","(as ""Leihgabe"")",,"provenance"
"5457","3298","Judgment of Paris",,,"Lost after WWII",,"provenance"
"5458","3298","Judgment of Paris","Jul 30 1976","England, London","Sale, Christie's, Lot #100",,"provenance"
"5459","3299","Judgment of Paris (Cambridge)","1816","England","Bequeathed by Richard Fitzwilliam, 7th Viscount",,"provenance"
